PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS,FG_PCT,FG3_PCT,FT_PCT,TRUE_SHOOTING,AST,TOV,AST_TOV_RATIO,REB,STL,BLK,PLUS_MINUS,CLUTCH_PPM,OVR_PPM,PTS_CER,OVR_PTS,OVR_FG_PCT,FG_PCT_RATIO
Cooper Flagg,DAL,19.0,39,15,24,0.385,3.9,2.3,0.431,0.3,0.833,0.549,0.5,0.2,2.5,1.0,0.1,0.1,-0.8,0.5897,0.6269,0.941,21.0,0.468,0.921
Daeqwon Plowden,SAC,27.0,10,6,4,0.6,3.1,2.3,0.875,0.8,1.0,1.127,0.1,0.1,1.0,0.7,0.0,0.0,3.1,0.7419,0.4091,1.813,10.8,0.43,2.035
Daniss Jenkins,DET,24.0,24,16,8,0.667,3.0,2.1,0.367,0.3,0.862,0.574,0.2,0.2,1.0,0.4,0.0,0.0,0.8,0.7,0.4604,1.52,9.3,0.408,0.9
Darius Garland,LAC,26.0,18,7,11,0.389,3.1,2.4,0.469,0.5,0.889,0.594,0.5,0.4,1.25,0.4,0.0,0.1,-0.1,0.7742,0.6288,1.231,18.8,0.46,1.02
De'Aaron Fox,SAS,28.0,29,19,10,0.655,3.5,2.8,0.422,0.25,0.952,0.558,0.7,0.2,3.5,0.4,0.2,0.0,1.5,0.8,0.6,1.333,18.6,0.486,0.868
DeMar DeRozan,SAC,36.0,29,13,16,0.448,3.5,3.0,0.458,0.455,0.902,0.648,0.5,0.1,5.0,0.4,0.1,0.0,-0.3,0.8571,0.5897,1.453,18.4,0.497,0.922
Deandre Ayton,LAL,27.0,18,15,3,0.833,3.4,1.2,0.778,0.0,0.8,0.785,0.1,0.1,1.0,1.2,0.1,0.2,2.7,0.3529,0.4596,0.768,12.5,0.671,1.159
Deni Avdija,POR,25.0,36,19,17,0.528,3.7,3.0,0.5,0.4,0.796,0.648,0.6,0.4,1.5,0.6,0.1,0.1,-0.4,0.8108,0.7267,1.116,24.2,0.462,1.082
Dennis Schröder,CLE,32.0,22,10,12,0.455,3.1,2.0,0.467,0.333,0.929,0.601,0.2,0.3,0.67,0.4,0.1,0.0,-1.4,0.6452,0.4463,1.446,10.8,0.405,1.153
Derik Queen,NOP,21.0,26,7,19,0.269,3.1,1.2,0.36,0.2,0.75,0.475,0.3,0.4,0.75,0.7,0.2,0.2,-1.7,0.3871,0.468,0.827,11.7,0.473,0.761
Derrick Jones Jr.,LAC,29.0,16,8,8,0.5,4.6,2.1,0.524,0.333,0.769,0.636,0.1,0.1,1.0,0.5,0.1,0.2,-0.4,0.4565,0.3741,1.22,10.1,0.499,1.05
Derrick White,BOS,31.0,28,13,15,0.464,3.1,2.2,0.429,0.367,0.833,0.624,0.3,0.1,3.0,0.2,0.1,0.1,0.3,0.7097,0.4839,1.467,16.5,0.394,1.089
Desmond Bane,ORL,27.0,42,27,15,0.643,3.9,2.4,0.365,0.233,0.892,0.501,0.4,0.2,2.0,0.7,0.1,0.0,0.4,0.6154,0.5982,1.029,20.1,0.484,0.754
Devin Booker,PHX,29.0,30,14,16,0.467,3.5,3.4,0.443,0.308,0.867,0.639,0.5,0.4,1.25,0.5,0.0,0.1,-0.2,0.9714,0.7791,1.247,26.1,0.456,0.971
Dillon Brooks,PHX,30.0,27,16,11,0.593,3.2,1.7,0.432,0.333,0.818,0.539,0.2,0.2,1.0,0.4,0.1,0.0,1.1,0.5312,0.6645,0.799,20.2,0.435,0.993
Dominick Barlow,PHI,22.0,13,7,6,0.538,4.0,0.8,0.375,0.0,0.625,0.463,0.1,0.2,0.5,0.7,0.0,0.1,0.1,0.2,0.3235,0.618,7.7,0.539,0.696
Donte DiVincenzo,MIN,29.0,29,16,13,0.552,3.3,1.1,0.36,0.444,0.857,0.557,0.4,0.3,1.33,0.4,0.2,0.0,0.2,0.3333,0.4013,0.831,12.2,0.406,0.887
Draymond Green,GSW,36.0,28,12,16,0.429,3.6,1.0,0.692,0.5,0.778,0.791,0.6,0.2,3.0,0.8,0.1,0.1,-0.5,0.2778,0.3055,0.909,8.4,0.418,1.656
Dyson Daniels,ATL,23.0,33,16,17,0.485,3.8,1.0,0.5,0.0,0.75,0.53,0.5,0.1,5.0,1.0,0.1,0.0,-0.5,0.2632,0.3584,0.734,11.9,0.517,0.967
Franz Wagner,ORL,24.0,16,9,7,0.563,4.1,2.9,0.412,0.308,0.833,0.561,0.1,0.1,1.0,0.7,0.2,0.0,1.1,0.7073,0.6867,1.03,20.6,0.481,0.857
Gary Trent Jr.,MIL,27.0,14,7,7,0.5,3.3,1.1,0.333,0.444,0.6,0.511,0.0,0.2,0.0,0.1,0.1,0.0,-0.4,0.3333,0.3821,0.872,8.1,0.387,0.86
Giannis Antetokounmpo,MIL,31.0,20,11,9,0.55,3.5,2.6,0.436,0.0,0.654,0.505,0.6,0.5,1.2,1.4,0.2,0.1,0.3,0.7429,0.955,0.778,27.6,0.624,0.699
Grayson Allen,PHX,30.0,25,13,12,0.52,3.3,2.0,0.35,0.222,0.85,0.512,0.5,0.2,2.5,0.4,0.0,0.0,-0.3,0.6061,0.5729,1.058,16.5,0.403,0.868
Gui Santos,GSW,23.0,18,8,10,0.444,4.0,2.1,0.591,0.167,0.714,0.677,0.3,0.3,1.0,0.8,0.1,0.0,1.1,0.525,0.4488,1.17,9.2,0.5,1.182
Herbert Jones,NOP,27.0,27,9,18,0.333,3.2,0.4,0.5,0.0,1.0,0.5,0.2,0.0,,0.3,0.1,0.1,-1.4,0.125,0.3134,0.399,8.9,0.383,1.305
Immanuel Quickley,TOR,26.0,29,18,11,0.621,3.0,1.7,0.39,0.409,0.692,0.539,0.3,0.1,3.0,0.5,0.1,0.0,0.9,0.5667,0.5141,1.102,16.4,0.443,0.88
Isaiah Collier,UTA,21.0,15,6,9,0.4,4.4,1.4,0.474,0.0,0.6,0.489,0.7,0.5,1.4,0.8,0.0,0.0,0.0,0.3182,0.4553,0.699,11.7,0.495,0.958
Isaiah Hartenstein,OKC,28.0,14,10,4,0.714,3.3,0.7,0.667,0.0,0.5,0.658,0.1,0.0,,1.2,0.2,0.0,1.7,0.2121,0.3802,0.558,9.2,0.622,1.072
Ivica Zubac,IND,29.0,18,7,11,0.389,4.1,1.9,0.563,0.0,0.773,0.665,0.3,0.2,1.5,1.2,0.1,0.1,0.3,0.4634,0.4684,0.989,14.1,0.598,0.941
Ja Morant,MEM,26.0,10,2,8,0.2,3.3,2.9,0.44,0.143,0.857,0.516,0.4,0.5,0.8,0.1,0.3,0.1,-2.6,0.8788,0.6866,1.28,19.5,0.41,1.073
Ja'Kobe Walter,TOR,21.0,12,7,5,0.583,3.0,0.5,0.286,0.167,1.0,0.388,0.1,0.1,1.0,0.5,0.0,0.0,1.3,0.1667,0.3659,0.456,7.5,0.446,0.641
Jabari Smith Jr.,HOU,23.0,39,19,20,0.487,4.5,1.5,0.373,0.324,0.714,0.508,0.2,0.1,2.0,0.9,0.1,0.1,-0.7,0.3333,0.4501,0.741,15.8,0.449,0.831
Jaden McDaniels,MIN,25.0,28,15,13,0.536,3.8,1.3,0.433,0.25,0.8,0.509,0.2,0.2,1.0,0.5,0.2,0.0,-0.1,0.3421,0.4669,0.733,14.8,0.515,0.841
Jaime Jaquez Jr.,MIA,25.0,21,12,9,0.571,3.2,1.4,0.45,0.333,0.917,0.554,0.8,0.0,,0.7,0.0,0.0,0.8,0.4375,0.5442,0.804,15.4,0.507,0.888
Jakob Poeltl,TOR,30.0,14,8,6,0.571,3.0,1.3,0.7,0.0,0.667,0.742,0.1,0.0,,0.9,0.0,0.1,-0.4,0.4333,0.428,1.012,10.7,0.7,1.0
Jalen Brunson,NYK,29.0,32,21,11,0.656,3.7,3.6,0.488,0.444,0.774,0.592,0.7,0.3,2.33,0.5,0.1,0.0,1.7,0.973,0.7429,1.31,26.0,0.467,1.045
Jalen Duren,DET,22.0,32,21,11,0.656,3.6,1.4,0.448,0.0,0.731,0.559,0.1,0.2,0.5,1.3,0.1,0.2,1.5,0.3889,0.6915,0.562,19.5,0.65,0.689
Jalen Green,PHX,24.0,10,4,6,0.4,4.1,1.3,0.25,0.143,0.333,0.287,0.4,0.1,4.0,0.7,0.3,0.0,-2.1,0.3171,0.6873,0.461,17.8,0.422,0.592
Jalen Johnson,ATL,24.0,34,17,17,0.5,3.8,2.9,0.516,0.35,0.806,0.632,0.7,0.4,1.75,0.8,0.3,0.1,0.0,0.7632,0.6392,1.194,22.5,0.489,1.055
Jalen Suggs,ORL,24.0,24,16,8,0.667,3.4,1.6,0.5,0.385,0.833,0.656,0.5,0.2,2.5,0.6,0.1,0.1,1.8,0.4706,0.5,0.941,13.8,0.435,1.149
Jalen Williams,OKC,25.0,10,7,3,0.7,3.6,2.2,0.348,0.286,0.8,0.437,0.8,0.1,8.0,0.6,0.1,0.0,3.3,0.6111,0.6021,1.015,17.1,0.484,0.719
Jamal Murray,DEN,29.0,38,20,18,0.526,4.7,4.4,0.522,0.441,0.833,0.699,0.8,0.4,2.0,0.5,0.2,0.1,0.4,0.9362,0.7175,1.305,25.4,0.483,1.081
James Harden,CLE,36.0,31,19,12,0.613,3.5,3.6,0.467,0.357,0.922,0.691,0.5,0.3,1.67,0.7,0.2,0.0,2.2,1.0286,0.6782,1.517,23.6,0.434,1.076
Jaren Jackson Jr.,UTA,26.0,26,9,17,0.346,3.3,1.3,0.216,0.091,0.762,0.371,0.2,0.3,0.67,0.8,0.2,0.3,-1.4,0.3939,0.6403,0.615,19.4,0.476,0.454
Jaylen Brown,BOS,29.0,27,14,13,0.519,3.5,3.4,0.448,0.286,0.694,0.553,0.4,0.6,0.67,1.0,0.1,0.0,0.7,0.9714,0.8343,1.164,28.7,0.477,0.939
Jaylen Wells,MEM,22.0,30,12,18,0.4,3.2,0.9,0.313,0.154,0.8,0.379,0.1,0.1,1.0,0.3,0.0,0.0,-1.8,0.2812,0.4735,0.594,12.5,0.431,0.726
Jaylon Tyson,CLE,23.0,20,11,9,0.55,3.2,1.4,0.35,0.444,0.714,0.535,0.2,0.2,1.0,0.7,0.1,0.0,-1.1,0.4375,0.4907,0.892,13.2,0.493,0.71
